probe	SYMBOL	ENTREZID
ENSG00000000003.14	TSPAN6	7105
ENSG00000000005.5	TNMD	64102
ENSG00000000419.12	DPM1	8813
ENSG00000000457.13	SCYL3	57147
ENSG00000000460.16	C1orf112	55732
ENSG00000000938.12	FGR	2268
ENSG00000000971.15	CFH	3075
ENSG00000001036.13	FUCA2	2519
ENSG00000001084.10	GCLC	2729
ENSG00000001167.14	NFYA	4800
ENSG00000001460.17	STPG1	90529
ENSG00000001461.16	NIPAL3	57185
ENSG00000001497.16	LAS1L	81887
ENSG00000001561.6	ENPP4	22875
ENSG00000001617.11	SEMA3F	6405
ENSG00000001626.14	CFTR	1080
ENSG00000001629.9	ANKIB1	54467
ENSG00000001630.15	CYP51A1	1595
ENSG00000001631.15	KRIT1	889
ENSG00000002016.17	RAD52	5893
ENSG00000002330.13	BAD	572
ENSG00000002549.12	LAP3	51056
ENSG00000002586.18	CD99	4267
ENSG00000002586.18_PAR_Y	CD99	4267
ENSG00000002587.9	HS3ST1	9957
ENSG00000002726.20	AOC1	26
ENSG00000002745.12	WNT16	51384
ENSG00000002746.14	HECW1	23072
ENSG00000002822.15	MAD1L1	8379
ENSG00000002834.17	LASP1	3927
ENSG00000002919.14	SNX11	29916
ENSG00000002933.7	TMEM176A	55365
ENSG00000003056.7	M6PR	4074
ENSG00000003096.14	KLHL13	90293
ENSG00000003137.8	CYP26B1	56603
ENSG00000003147.17	ICA1	3382
ENSG00000003249.13	DBNDD1	79007
ENSG00000003393.14	ALS2	57679
ENSG00000003400.14	CASP10	843
ENSG00000003402.19	CFLAR	8837
ENSG00000003436.15	TFPI	7035
ENSG00000003509.15	NDUFAF7	55471
ENSG00000003756.16	RBM5	10181
ENSG00000003987.13	MTMR7	9108
ENSG00000003989.17	SLC7A2	6542
ENSG00000004059.10	ARF5	381
ENSG00000004139.13	SARM1	23098
ENSG00000004142.11	POLDIP2	26073
ENSG00000004399.12	PLXND1	23129
ENSG00000004455.16	AK2	204
ENSG00000004468.12	CD38	952
ENSG00000004478.7	FKBP4	2288
ENSG00000004487.15	KDM1A	23028
ENSG00000004534.14	RBM6	10180
ENSG00000004660.14	CAMKK1	84254
ENSG00000004700.15	RECQL	5965
ENSG00000004766.15	VPS50	55610
ENSG00000004776.12	HSPB6	126393
ENSG00000004777.18	ARHGAP33	115703
ENSG00000004779.9	NDUFAB1	4706
ENSG00000004799.7	PDK4	5166
ENSG00000004809.13	SLC22A16	85413
ENSG00000004838.13	ZMYND10	51364
ENSG00000004846.16	ABCB5	340273
ENSG00000004848.7	ARX	170302
