TCGA-BH-A0HX-01A-21R-A056-07	TCGA-AO-A0J7-01A-11R-A034-07	TCGA-A2-A25F-01A-11R-A169-07	TCGA-AR-A0U3-01A-11R-A109-07	TCGA-A2-A259-01A-11R-A16F-07	TCGA-AN-A0AJ-01A-11R-A00Z-07	TCGA-E9-A6HE-01A-11R-A31O-07	TCGA-EW-A1P3-01A-11R-A144-07	TCGA-E2-A1LI-01A-12R-A157-07	TCGA-HN-A2OB-01A-21R-A27Q-07	TCGA-BH-A0DL-01A-11R-A115-07	TCGA-E9-A227-01A-11R-A157-07	TCGA-E2-A1IL-01A-11R-A14D-07	TCGA-C8-A1HK-01A-21R-A13Q-07	TCGA-AC-A7VC-01A-11R-A352-07	TCGA-OL-A66H-01A-11R-A29R-07	TCGA-A8-A0A2-01A-11R-A034-07	TCGA-E2-A15R-01A-11R-A115-07	TCGA-A2-A3XX-01A-21R-A239-07	TCGA-D8-A13Y-01A-11R-A115-07	TCGA-AN-A0XV-01A-11R-A109-07	TCGA-AO-A128-01A-11R-A10J-07	TCGA-A8-A09M-01A-11R-A00Z-07	TCGA-AO-A03T-01A-21R-A034-07	TCGA-BH-A0DZ-01A-11R-A00Z-07	TCGA-E2-A56Z-01A-12R-A29R-07	TCGA-BH-A0HO-01A-11R-A034-07	TCGA-A2-A25B-01A-11R-A169-07	TCGA-A2-A1FW-01A-11R-A13Q-07	TCGA-AO-A1KP-01A-11R-A13Q-07	TCGA-BH-A0B3-01A-11R-A056-07	TCGA-BH-A1F6-01A-11R-A13Q-07	TCGA-EW-A1P6-01A-11R-A144-07	TCGA-A8-A08B-01A-11R-A00Z-07	TCGA-B6-A409-01A-11R-A24H-07	TCGA-BH-A0BS-01A-11R-A12P-07	TCGA-A7-A2KD-01A-31R-A21T-07	TCGA-C8-A278-01A-11R-A169-07	TCGA-AQ-A54N-01A-11R-A266-07	TCGA-AC-A2FO-01A-11R-A180-07	TCGA-A2-A4S3-01A-21R-A266-07	TCGA-AO-A1KQ-01A-11R-A13Q-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-A8-A07O-01A-11R-A00Z-07	TCGA-E2-A1LH-01A-11R-A14D-07	TCGA-A8-A09T-01A-11R-A00Z-07	TCGA-A8-A0A7-01A-11R-A00Z-07	TCGA-A8-A07I-01A-11R-A00Z-07	TCGA-EW-A3E8-01B-11R-A24H-07	TCGA-AC-A3W7-01A-11R-A22K-07	TCGA-D8-A143-01A-11R-A115-07	TCGA-BH-A18F-01A-11R-A12D-07	TCGA-BH-A0W4-01A-11R-A109-07	TCGA-D8-A1XS-01A-11R-A14M-07	TCGA-BH-A0BA-01A-11R-A056-07	TCGA-A2-A3XS-01A-11R-A22U-07	TCGA-A8-A07S-01A-11R-A034-07	TCGA-LL-A73Z-01A-11R-A32P-07	TCGA-BH-A0HB-01A-11R-A056-07	TCGA-D8-A1XG-01A-11R-A14D-07	TCGA-AN-A0XN-01A-21R-A109-07	TCGA-D8-A1JD-01A-11R-A13Q-07	TCGA-A8-A08L-01A-11R-A00Z-07	TCGA-GM-A2DN-01A-11R-A180-07	TCGA-BH-A18V-01A-11R-A12D-07	TCGA-D8-A146-01A-31R-A115-07	TCGA-A7-A3RF-01A-11R-A22K-07	TCGA-A8-A06N-01A-11R-A00Z-07	TCGA-D8-A141-01A-11R-A115-07	TCGA-AN-A041-01A-11R-A034-07	TCGA-A7-A26J-01A-11R-A277-07	TCGA-E2-A106-01A-11R-A10J-07	TCGA-C8-A135-01A-11R-A115-07	TCGA-BH-A0GY-01A-11R-A056-07	TCGA-D8-A4Z1-01A-21R-A266-07	TCGA-E9-A1NA-01A-11R-A144-07	TCGA-A2-A0CP-01A-11R-A034-07	TCGA-BH-A0BZ-01A-31R-A12P-07	TCGA-Z7-A8R5-01A-42R-A41B-07	TCGA-AC-A3TN-01A-11R-A22K-07	TCGA-AO-A0JF-01A-11R-A056-07	TCGA-AC-A2QH-01B-04R-A22O-07	TCGA-C8-A12V-01A-11R-A115-07	TCGA-AR-A24S-01A-11R-A169-07	TCGA-A8-A08Z-01A-21R-A00Z-07	TCGA-B6-A1KI-01A-11R-A14M-07	TCGA-LL-A9Q3-01A-11R-A41B-07	TCGA-A8-A08F-01A-11R-A00Z-07	TCGA-D8-A1Y1-01A-21R-A14M-07	TCGA-GM-A2DL-01A-11R-A18M-07	TCGA-AO-A03U-01B-21R-A10J-07	TCGA-BH-A0BW-01A-11R-A115-07	TCGA-D8-A73U-01A-11R-A33J-07	TCGA-AN-A0XR-01A-11R-A109-07	TCGA-AN-A0FY-01A-11R-A034-07	TCGA-AN-A0AK-01A-21R-A00Z-07	TCGA-BH-A1FC-01A-11R-A13Q-07	TCGA-A8-A08R-01A-11R-A034-07	TCGA-D8-A3Z6-01A-11R-A239-07	TCGA-A1-A0SP-01A-11R-A084-07 
ENSG00000153002.11	29917099	40089991	1477	21911	25052	7628	4822	18790	6266	1000	0	27211	16459	4346	651	205039538	10073	1752915	154	9329	52797928	2770	1139363	3348067	600	1656392	467540867	34117	443450	200	190	1889	5259	4081	3813	24088	418	3084	96	16165	1052	769	4032	2473510	1681	1050	49100	752	3067	44327	684	3200	47867	20792	116749	133	6068	266747	3982107	156354381	800	120904	757250	3315	100	85577620	1312864	88627	1257	547249870	384389	87000986	1580	7998	908113	239209	174738	777	512850	4635	9242	562	500	1163	33192	5190	10620	8989131	1664	765	22057	0	336	3936	21777	72451	0	286	1073012	96521
ENSG00000211896.7	1980186	385067	38729943	696252	5282846	14614314	486824	3469965	49488634	560694	41191141	962578	1119743	14599392	77109	12106783	56685108	460557	127076014	79957	22051548	25575031	33998436	960177	3634379	2483096	139466	18618348	11199920	173452	122651237	92913451	16491384	5511255	7076200	19429	15284927	275506898	2080792	38655793	12704142	8067937	3698676	2383041	102909646	151993	227258371	32704268	35797548	1541352	114092266	12355052	2082840	8068878	23820022	15595992	223330	3476757	5039942	98145	343636	17940079	6233599	208207145	13820351	6897633	980860	321291	30799080	2983761	349381	578757	10714397	4054129	1079834	6038368	1344713	10681717	2037326	576781	549648	3182	100405141	1633877	649365	209062	661659	834237	61722	707333	936770	17691671	119755310	282949	457497	7285899	577030812	161315617	750813	54570261
ENSG00000283029.1	108317	215612	99573	58966	78247	3179819	240577	95096	58039	86111	189194	105569	40144	189106	258072	125010	1656214	141206	92385	51299	112119	256404	80024	187944	390089	236484	475510	126038	98368	32395	66942	280878	29654	1178321	78646	551728	794286	109407	40481	39453	86094	144495	50416	68330	715346	478051	844991	316220	147721	109893	68209	48077	76338	32773	56372	79347	623347	69385	138771	119225	45018	86749	482212	111380	187133	56354	313439	553950	115312	195577	456373849	52699	145089	44633	24503	77835	69995	77931	56209	244608	373079	252498160	169596	126641	51766	100206	214319	1012036	75958	124497	77978	140300	117611	130199	167550	148406	131648	607212	101332	133583
ENSG00000276168.1	108317	215612	99573	58966	78247	3179812	240576	95096	58039	86110	189193	105569	40144	189106	258070	125010	1656212	141206	92384	51299	112119	256403	80024	187944	390089	236484	475507	126037	98368	32395	66942	280877	29654	1178321	78644	551727	794283	109406	40480	39453	86094	144495	50416	68330	715342	478051	844989	316220	147721	109892	68209	48077	76338	32773	56372	79346	623347	69383	138770	119225	45015	86748	482212	111380	187131	56354	313437	553947	115312	195575	456373770	52699	145088	44633	24503	77835	69995	77931	56209	244606	373076	252498142	169596	126641	51766	100206	214319	1012035	75958	124496	77977	140300	117611	130199	167549	148406	131648	607212	101332	133582
ENSG00000198804.2	50608343	60885495	62006423	29753618	55206972	13123375	29100724	107822672	113443253	57255754	72224338	125254023	26949649	51120272	25513884	34154314	122666071	103538317	53344126	57383594	107532276	39717232	120114557	456787028	25386510	66087610	45666393	39228445	84593067	168486754	41130310	33623451	67230455	22653751	93554658	43484029	66611622	87630176	62282699	51736128	23669313	63025748	18800858	95786995	139769957	23106454	52161865	32149428	67520744	50877869	21960659	45378249	55799071	71135202	71650585	85940995	42975320	94051576	94684114	38665079	35543939	38013219	48462372	59118176	23546818	46864640	69901038	90017766	53869026	71650697	3398875	68036093	72285314	67371952	26312702	34977892	54067260	53122669	39085341	63019381	43803563	25996139	55502380	64655333	47500022	117947278	48246095	40824951	68371961	65832175	60656981	26249225	31374651	44584635	82697767	23182622	28483538	52072833	102425370	45055021
ENSG00000274012.1	142445	330438	123620	86554	123679	4703065	417968	134048	71005	169241	227157	129303	60055	283173	351105	217427	3355598	183957	119159	78969	217829	314534	122255	253047	661619	522281	688750	178533	184749	65187	55374	343533	54394	1892354	83254	770205	1412244	160366	54295	57641	113704	243512	86059	79363	1005901	769796	1321648	580790	174688	168991	82645	58122	118017	45678	66907	99269	943165	92255	148700	258350	80469	181854	827561	145398	310947	78779	663048	680543	125394	249571	408984221	82139	127027	54756	44825	113992	83219	74745	82555	460670	444498	251203047	173937	198840	70956	123636	216829	1285100	115480	158379	83980	205447	201032	153277	390121	214233	223808	784640	124542	158174
ENSG00000210082.2	25570244	43979178	31894007	16375896	43451855	16425932	19422209	48750359	62150412	21003239	40388629	63726798	10589616	24574063	11230670	24556015	53085960	48560076	27844121	16572960	56358104	19352640	55577323	150340930	21193975	34340079	21581352	33132287	25381020	106540254	13738856	38265972	36253541	9592181	105882663	21149687	13413761	73662918	67005562	26957655	10403045	26734947	11210576	48852600	99597588	18642246	26065834	12269565	24966636	24262184	12066045	23586362	17074345	34408934	25786771	38811143	24437819	109491077	44018861	16495474	20790728	53833498	37507618	26661428	9655716	18033015	36293189	29719367	24763926	29980071	10767365	28835814	67375828	55477256	13848659	20867113	57532421	23245160	23806249	30574775	27997158	404563465	34022388	48918669	25324853	65025421	23380621	26318329	59032910	32472498	18392641	11683417	19229670	32251248	96958553	30817048	17639674	22941931	62696566	18445438
ENSG00000211592.8	2556258	724792	68469609	343131	5772679	6834701	1712561	3647744	40316089	4983775	42222102	3241238	1471025	11258358	47098	7197930	30792448	636438	45456807	3970	14776881	17713244	16891493	1828699	2243426	177528	1055305	9952698	4606345	428923	101766528	14211958	12441755	2658585	9311008	377743	8910789	176983563	758112	20468485	4888407	9499796	3632881	2235933	105866086	123165	136254932	18596523	31030252	1573877	46608031	11113030	1895147	5772150	23935746	8327454	233438	4804664	5005674	85926	319351	9650209	3240227	166948983	7937195	7398373	254003	423390	14392486	3222743	977986	2845468	8850930	3107997	5838965	2851189	6613321	11851416	5073618	456797	697585	3910	64239583	2105837	766741	613369	2034772	552353	35143	492715	3515390	18962375	88566484	291800	372362	5251853	251198354	63020713	2865849	23043213
ENSG00000202198.1	9263	25425	22025	21610	32782	294201	63890	42485	20963	10740	21006	43652	9273	31953	19022	17464	33662	51553	10112	21429	15329	18275	18578	20629	60769	21379	13086	51275	38504	99213	9164	6970	5078	58757	13143	12340	50303	18871	28336	7801	5167	53197	19108	28226	11252	70432	22976	18911	10883	8968	20583	9604	25401	5489	20925	5258	17036	10053	29812	6163	4684	16575	40313	20067	27154	18340	10302	325246	38497	38067	270767704	12645	15790	10969	4386	12446	28443	19893	42472	51291	164841	266485885	41742	35063	15961	12426	8440	32141	38113	43395	9078	15490	5650	70069	8229	5369	33455	33164	11944	22524
ENSG00000283293.1	9263	25425	22024	21610	32781	294189	63888	42485	20963	10740	21006	43652	9273	31953	19021	17464	33660	51551	10111	21429	15329	18275	18578	20628	60768	21377	13086	51272	38504	99213	9164	6970	5078	58757	13143	12340	50303	18871	28328	7800	5167	53197	19108	28224	11252	70432	22976	18911	10883	8968	20583	9604	25401	5489	20924	5254	17035	10053	29812	6162	4684	16573	40311	20065	27154	18340	10302	325236	38497	38066	270767502	12645	15790	10969	4384	12446	28443	19893	42470	51290	164837	266485878	41742	35062	15961	12424	8440	32141	38110	43394	9078	15490	5649	70068	8227	5369	33453	33163	11944	22524
