probe	SYMBOL	ENTREZID	Length
ENSG00000153002.11	CPB1	1360	5703
ENSG00000211896.7	IGHG1	3500	2762
ENSG00000283029.1	NA	NA	300
ENSG00000276168.1	RN7SL1	6029	299
ENSG00000198804.2	MT-CO1	4512	1542
ENSG00000274012.1	RN7SL2	378706	300
ENSG00000210082.2	NA	NA	1559
ENSG00000211592.8	IGKC	3514	523
ENSG00000202198.1	RN7SK	125050	331
ENSG00000283293.1	RN7SK	125050	328
ENSG00000012223.12	LTF	4057	4247
ENSG00000115414.18	FN1	2335	17315
ENSG00000198886.2	MT-ND4	4538	1378
ENSG00000211459.2	NA	NA	954
ENSG00000108821.13	COL1A1	1277	9819
ENSG00000164692.17	COL1A2	1278	11156
ENSG00000198712.1	MT-CO2	4513	684
ENSG00000198938.2	MT-CO3	4514	784
ENSG00000110484.6	SCGB2A2	4250	1508
ENSG00000111341.9	MGP	4256	2639
ENSG00000168542.14	COL3A1	1281	6811
ENSG00000198899.2	MT-ATP6	4508	681
ENSG00000278771.1	RN7SL3	378707	299
ENSG00000141424.12	SLC39A6	25800	3682
ENSG00000269900.3	NA	NA	268
ENSG00000277027.1	RMRP	6023	264
ENSG00000272398.5	CD24	100133941	3097
ENSG00000198763.3	MT-ND2	4536	1042
ENSG00000115461.4	IGFBP5	3488	6442
ENSG00000198727.2	MT-CYB	4519	1141
ENSG00000265735.2	NA	NA	321
ENSG00000075624.13	ACTB	60	3256
ENSG00000117984.13	CTSD	1509	3126
ENSG00000259001.3	NA	NA	638
ENSG00000277209.1	RPPH1	85495	333
ENSG00000198888.2	MT-ND1	4535	956
ENSG00000159763.3	PIP	5304	585
ENSG00000019582.14	CD74	972	3184
ENSG00000113140.10	SPARC	6678	4831
ENSG00000166710.17	B2M	567	6089
ENSG00000196205.8	NA	NA	1389
ENSG00000211677.2	IGLC2	3538	462
ENSG00000100985.7	MMP9	4318	2336
ENSG00000100219.16	XBP1	7494	3028
ENSG00000198786.2	MT-ND5	4540	1812
ENSG00000211893.3	IGHG2	3501	1132
